作文分词语频统计结果 (GPF分词)
============================================================
文件数量: 282
不同词汇数量: 25,529
============================================================

排名       词语               词频          
5534     泊坡岛              4           
5535     无视               4           
5536     追赶               4           
5537     死活               4           
5538     逃脱               4           
5539     迁移               4           
5540     贝壳               4           
5541     老母               4           
5542     美雅湖              4           
5543     下水               4           
5544     白天鹅              4           
5545     阿美               4           
5546     美梦               4           
5547     至高无上             4           
5548     百兽               4           
5549     寂寥               4           
5550     旖旎               4           
5551     缠绵               4           
5552     柔柔地              4           
5553     百合               4           
5554     芳香               4           
5555     木桥               4           
5556     遐想               4           
5557     浮想联翩             4           
5558     污浊               4           
5559     雷鸣               4           
5560     孩儿               4           
5561     受不了              4           
5562     酝酿               4           
5563     支撑               4           
5564     流言               4           
5565     唏嘘               4           
5566     皇上               4           
5567     奔波               4           
5568     生涯               4           
5569     大于               4           
5570     洗礼               4           
5571     安然               4           
5572     大事               4           
5573     日期               4           
5574     接二连三             4           
5575     冉冉               4           
5576     对准               4           
5577     盘古               4           
5578     形状               4           
5579     法术               4           
5580     可想而知             4           
5581     熄灭               4           
5582     co               4           
5583     发布               4           
5584     大街小巷             4           
5585     头昏               4           
5586     血丝               4           
5587     是非               4           
5588     快捷               4           
5589     为此               4           
5590     侵蚀               4           
5591     近年来              4           
5592     急剧               4           
5593     深远               4           
5594     几度               4           
5595     淳朴               4           
5596     一只只              4           
5597     农历               4           
5598     搬迁               4           
5599     小儿               4           
5600     迟早               4           
5601     崛起               4           
5602     开拓               4           
5603     随遇而安             4           
5604     远去               4           
5605     朝阳               4           
5606     冬季               4           
5607     触摸               4           
5608     安分               4           
5609     计划生育             4           
5610     收据               4           
5611     见于               4           
5612     摧残               4           
5613     食堂               4           
5614     拉链               4           
5615     中途               4           
5616     留级               4           
5617     狠心               4           
5618     胡子               4           
5619     咚咚咚              4           
5620     杰作               4           
5621     挨着               4           
5622     检讨               4           
5623     卷子               4           
5624     形影不离             4           
5625     倒霉               4           
5626     帅哥               4           
5627     柯南               4           
5628     栀子花              4           
5629     月考               4           
5630     有说有笑             4           
5631     玄问               4           
5632     一连串              4           
5633     ss               4           
5634     老班               4           
5635     美称               4           
5636     怒气冲冲             4           
5637     上门               4           
5638     下巴               4           
5639     起伏               4           
5640     夜深人静             4           
5641     谈天               4           
5642     名人               4           
5643     口吻               4           
5644     本事               4           
5645     素质               4           
5646     诸多               4           
5647     自习课              4           
5648     分贝               4           
5649     楼梯               4           
5650     应用               4           
5651     善意               4           
5652     愈加               4           
5653     数量               4           
5654     义无反顾             4           
5655     其实不然             4           
5656     敞开               4           
5657     迸发               4           
5658     晶亮               4           
5659     何事               4           
5660     严冬               4           
5661     恰恰               4           
5662     实质               4           
5663     抵制               4           
5664     好处               4           
5665     论坛               4           
5666     吸取               4           
5667     危害               4           
5668     气魄               4           
5669     茁壮               4           
5670     生灵               4           
5671     心甘情愿             4           
5672     热火朝天             4           
5673     懒腰               4           
5674     偷走               4           
5675     起劲               4           
5676     翩翩               4           
5677     无敌               4           
5678     新建               4           
5679     交往               4           
5680     从小到大             4           
5681     竖起               4           
5682     大猩猩              4           
5683     今世               4           
5684     暗藏               4           
5685     降落               4           
5686     娴熟               4           
5687     来往               4           
5688     明朗               4           
5689     处分               4           
5690     瞳孔               4           
5691     五月               4           
5692     回声               4           
5693     幻觉               4           
5694     冰箱               4           
5695     星空               4           
5696     台下               4           
5697     脸刷               4           
5698     无影无踪             4           
5699     三姐               4           
5700     挺身而出             4           
5701     扭头               4           
5702     认出               4           
5703     考虑               4           
5704     泣不成声             4           
5705     老哥               4           
5706     小学生              4           
5707     剧情               4           
5708     收藏               4           
5709     金子               4           
5710     蝶儿               4           
5711     墨绿色              4           
5712     水上               4           
5713     背包               4           
5714     蓬勃               4           
5715     红叶               4           
5716     新月               4           
5717     漂泊               4           
5718     可知               4           
5719     心儿               4           
5720     握住               4           
5721     应付               4           
5722     健全               4           
5723     志向               4           
5724     担任               4           
5725     方针               4           
5726     修养               4           
5727     生机勃勃             4           
5728     亮丽               4           
5729     损害               4           
5730     措施               4           
5731     事迹               4           
5732     热心               4           
5733     每周               4           
5734     递交               4           
5735     轻重               4           
5736     查看               4           
5737     提升               4           
5738     收入               4           
5739     团支书              4           
5740     颁奖               4           
5741     充足               4           
5742     团支部              4           
5743     调动               4           
5744     听讲               4           
5745     星期二              4           
5746     装满               4           
5747     远行               4           
5748     5天               4           
5749     星期一              4           
5750     感性               4           
5751     咒语               4           
5752     苗条               4           
5753     火车站              4           
5754     广西               4           
5755     半山腰              4           
5756     广袤               4           
5757     低谷               4           
5758     2000年            4           
5759     出外               4           
5760     西部               4           
5761     明日               4           
5762     嘲笑               4           
5763     小樱               4           
5764     兰草               4           
5765     打闹               4           
5766     挥动               4           
5767     反驳               4           
5768     卡车               4           
5769     匆忙               4           
5770     搬走               4           
5771     剥夺               4           
5772     泡影               4           
5773     忘掉               4           
5774     人生路              4           
5775     文科               4           
5776     好在               4           
5777     畅谈               4           
5778     背道而驰             4           
5779     雕刻               4           
5780     难以忘怀             4           
5781     健壮               4           
5782     恶毒               4           
5783     屋檐               4           
5784     衬衣               4           
5785     阴险               4           
5786     面部               4           
5787     夏娃               4           
5788     亚当               4           
5789     整片               4           
5790     相乘               4           
5791     相除               4           
5792     破烂               4           
5793     专心               4           
5794     9月               4           
5795     秋季               4           
5796     衣裙               4           
5797     从未有过             4           
5798     无从               4           
5799     无用               4           
5800     枯黄               4           
5801     相约               4           
5802     格格不入             4           
5803     映衬               4           
5804     出乎意料             4           
5805     清秀               4           
5806     不尽               4           
5807     接待               4           
5808     东直门              4           
5809     西直门              4           
5810     柏油路              4           
5811     立交桥              4           
5812     建筑物              4           
5813     花编               4           
5814     三四               4           
5815     相机               4           
5816     合影               4           
5817     粉红色              4           
5818     文献               4           
5819     芦苇               4           
5820     野鸭               4           
5821     粟裕               4           
5822     十万               4           
5823     考察               4           
5824     地图               4           
5825     通商               4           
5826     货物               4           
5827     前哨               4           
5828     启航               4           
5829     宁波港北仑港区          4           
5830     矿石               4           
5831     能否               4           
5832     操作               4           
5833     日语               4           
5834     双双               4           
5835     考入               4           
5836     领导人              4           
5837     1991年            4           
5838     大港               4           
5839     内河               4           
5840     小港               4           
5841     油轮               4           
5842     六七               4           
5843     集装箱              4           
5844     穿山               4           
5845     港区               4           
5846     TEU              4           
5847     门户               4           
5848     王静芬              4           
5849     周恩来              4           
5850     沉郁               4           
5851     长剑               4           
5852     兰卡               4           
5853     远征               4           
5854     占领               4           
5855     作呕               4           
5856     丛林               4           
5857     不怎么              4           
5858     照例               4           
5859     那场               4           
5860     划落               4           
5861     花丛               4           
5862     湖南               4           
5863     华人               4           
5864     华侨               4           
5865     动用               4           
5866     再三               4           
5867     贪官               4           
5868     不屈               4           
5869     商标               4           
5870     沦为               4           
5871     保住               4           
5872     克服               4           
5873     观赏               4           
5874     车辆               4           
5875     沾沾自喜             4           
5876     右边               4           
5877     叮铃铃              4           
5878     李鹏飞              4           
5879     受益匪浅             4           
5880     野生               4           
5881     房东               4           
5882     电视台              4           
5883     光滑               4           
5884     并排               4           
5885     低声               4           
5886     奖品               4           
5887     回味               4           
5888     英勇               4           
5889     衣衫               4           
5890     生气勃勃             4           
5891     争先恐后             4           
5892     单单               4           
5893     奋进               4           
5894     上演               4           
5895     上古               4           
5896     江河               4           
5897     文静               4           
5898     煎熬               4           
5899     罐头               4           
5900     亲近               4           
5901     初见               4           
5902     绝世               4           
5903     容貌               4           
5904     书画               4           
5905     拜倒               4           
5906     烽火台              4           
5907     美艳               4           
5908     戏言               4           
5909     何等               4           
5910     没落               4           
5911     担负               4           
5912     飘然               4           
5913     下凡               4           
5914     吹拂               4           
5915     早出晚归             4           
5916     轻柔               4           
5917     严严实实             4           
5918     临近               4           
5919     微波               4           
5920     翻译               4           
5921     理睬               4           
5922     幼儿园              4           
5923     耐人寻味             4           
5924     懒懒               4           
5925     转变               4           
5926     从来不              4           
5927     分外               4           
5928     凑热闹              4           
5929     抽奖               4           
5930     小丑               4           
5931     冲破               4           
5932     城市化              4           
5933     孤立               4           
5934     国民经济             4           
5935     联合               4           
5936     公元2007           4           
5937     方便面              4           
5938     性情               4           
5939     免费               4           
5940     求之不得             4           
5941     江山               4           
5942     X年               4           
5943     忙活               4           
5944     运气               4           
5945     借口               4           
5946     血肉               4           
5947     惨不忍睹             4           
5948     死去活来             4           
5949     气力               4           
5950     Ha               4           
5951     笔下               4           
5952     丛书               4           
5953     不及               4           
5954     如饥似渴             4           
5955     乐于               4           
5956     男女老少             4           
5957     6日               4           
5958     高明               4           
5959     例如               4           
5960     精巧               4           
5961     势力               4           
5962     可能性              4           
5963     动漫               4           
5964     游离               4           
5965     告诫               4           
5966     仁慈               4           
5967     忠实               4           
5968     善心               4           
5969     感化               4           
5970     打动               4           
5971     鼓舞               4           
5972     行驶               4           
5973     山泉               4           
5974     施舍               4           
5975     al               4           
5976     日夜               4           
5977     笔芯               4           
5978     昏黄               4           
5979     酸痛               4           
5980     公式               4           
5981     三军               4           
5982     各式各样             4           
5983     太平               4           
5984     杀戮               4           
5985     回音               4           
5986     罗马               4           
5987     稚气               4           
5988     话音               4           
5989     家门               4           
5990     前夕               4           
5991     和睦               4           
5992     哥白尼              4           
5993     萌发               4           
5994     日心说              4           
5995     大胆               4           
5996     遭到               4           
5997     巧合               4           
5998     石块               4           
5999     习惯性              4           
6000     鹅卵石              4           
6001     树冠               4           
6002     任凭               4           
6003     哪些               4           
6004     VS               4           
6005     会场               4           
6006     木叶               4           
6007     无济于事             4           
6008     助威               4           
6009     云层               4           
6010     认定               4           
6011     愈合               4           
6012     施展               4           
6013     培育               4           
6014     因而               4           
6015     胆大               4           
6016     体谅               4           
6017     情结               4           
6018     激起               4           
6019     结识               4           
6020     沙田柚              4           
6021     翠绿               4           
6022     蒙蒙               4           
6023     无声无息             4           
6024     体育课              4           
6025     离婚               4           
6026     三好               4           
6027     下意识              4           
6028     强者               4           
6029     怜爱               4           
6030     苍天               4           
6031     救命               4           
6032     自家               4           
6033     翻滚               4           
6034     死死               4           
6035     流离失所             4           
6036     夏季               4           
6037     山峰               4           
6038     未必               4           
6039     张狂               4           
6040     威严               4           
6041     冰雪               4           
6042     散文               4           
6043     何华琴              4           
6044     依依不舍             4           
6045     孤零零              4           
6046     自称               4           
6047     老子               4           
6048     囚禁               4           
6049     成功者              4           
6050     游子               4           
6051     激动人心             4           
6052     传人               4           
6053     子孙               4           
6054     屋顶               4           
6055     胡同               4           
6056     贴切               4           
6057     探寻               4           
6058     半年               4           
6059     积木               4           
6060     美美               4           
6061     母亲节              4           
6062     想不               4           
6063     倒塌               4           
6064     硬是               4           
6065     双肩               4           
6066     掉以轻心             4           
6067     细节               4           
6068     过错               4           
6069     有滋有味             4           
6070     AB               4           
6071     大学生              4           
6072     颓唐               4           
6073     外宾               4           
6074     ga               4           
6075     few              4           
6076     辞职               4           
6077     政治科              4           
6078     妙趣横生             4           
6079     港湾               4           
6080     倍感               4           
6081     平方米              4           
6082     佳节               4           
6083     比如说              4           
6084     北城               4           
6085     父王               4           
6086     婚礼               4           
6087     内疚               4           
6088     提早               4           
6089     放出               4           
6090     注入               4           
6091     禁锢               4           
6092     数千               4           
6093     从此以后             4           
6094     飞逝               4           
6095     不懈               4           
6096     备战               4           
6097     死寂               4           
6098     愉悦               4           
6099     满目               4           
6100     即便               4           
6101     人头               4           
6102     山村               4           
6103     嫩绿               4           
6104     夺目               4           
6105     欢笑声              4           
6106     依恋               4           
6107     严寒               4           
6108     平和               4           
6109     勇往直前             4           
6110     洁净               4           
6111     哗哗               4           
6112     一天天              4           
6113     毅然决然             4           
6114     过渡               4           
6115     王山水              4           
6116     人气               4           
6117     张元庆              4           
6118     黄龙洞              4           
6119     出奇               4           
6120     花钱               4           
6121     周日               4           
6122     性子               4           
6123     源头               4           
6124     何不               4           
6125     场合               4           
6126     汤圆               4           
6127     标志               4           
6128     飞鸟               4           
6129     玉兔               4           
6130     桂树               4           
6131     决绝               4           
6132     跳舞               4           
6133     原子弹              4           
6134     抱负               4           
6135     游弋               4           
6136     大婶               4           
6137     馈赠               4           
6138     懊恼               4           
6139     礼炮               4           
6140     舞池               4           
6141     暗红               4           
6142     烟草               4           
6143     深邃               4           
6144     果断               4           
6145     问世               4           
6146     胜利法              4           
6147     洋鬼子              4           
6148     浓重               4           
6149     长期               4           
6150     起哄               4           
6151     泛起               4           
6152     十月               4           
6153     英俊               4           
6154     客户               4           
6155     洽谈               4           
6156     表白               4           
6157     上层               4           
6158     动荡               4           
6159     果子               4           
6160     修饰               4           
6161     春游               4           
6162     动笔               4           
6163     无边无际             4           
6164     无止境              4           
6165     拨通               4           
6166     号码               4           
6167     斜阳               4           
6168     情意               4           
6169     国文               4           
6170     马冬               4           
6171     探望               4           
6172     衬衫               4           
6173     纵使               4           
6174     母校               4           
6175     热腾腾              4           
6176     夸奖               4           
6177     捉迷藏              4           
6178     看作               4           
6179     做客               4           
6180     柳絮               4           
6181     重温               4           
6182     熙熙攘攘             4           
6183     温润               4           
6184     浸透               4           
6185     沁人心脾             4           
6186     怀旧               4           
6187     天幕               4           
6188     融化               4           
6189     意境               4           
6190     地形               4           
6191     人流               4           
6192     池塘               4           
6193     播放               4           
6194     惭愧               4           
6195     初恋               4           
6196     尽职尽责             4           
6197     愚溪               4           
6198     蕊娘               4           
6199     潇湘               4           
6200     自此               4           
6201     不畏               4           
6202     奏响               4           
6203     历程               4           
6204     狰狞               4           
6205     手掌               4           
6206     柱子               4           
6207     小星星              4           
6208     铭记               4           
6209     焦躁               4           
6210     所到之处             4           
6211     中等               4           
6212     人儿               4           
6213     邮票               4           
6214     出气筒              4           
6215     目瞪口呆             4           
6216     Dr               4           
6217     立夏               4           
6218     承担               4           
6219     激昂               4           
6220     奥数               4           
6221     他俩               4           
6222     鼻梁               4           
6223     蟋蟀               4           
6224     寻觅               4           
6225     男子汉              4           
6226     光良               4           
6227     汪子龙              4           
6228     3日               4           
6229     木头               4           
6230     盖子               4           
6231     本班               4           
6232     基本上              4           
6233     世事               4           
6234     暧昧               4           
6235     情形               4           
6236     皮球               4           
6237     清华               4           
6238     多亏               4           
6239     凉爽               4           
6240     逼迫               4           
6241     彤管               4           
6242     角楼               4           
6243     动画               4           
6244     积雪               4           
6245     深圳市              4           
6246     福景               4           
6247     戏剧               4           
6248     观看               4           
6249     王洛宾              4           
6250     喜怒哀乐             4           
6251     原著               4           
6252     真相               4           
6253     小刀               4           
6254     事后               4           
6255     扶桑               4           
6256     低调               4           
6257     调位               4           
6258     异性               4           
6259     前一天              4           
6260     掌控               4           
6261     行进               4           
6262     朱红               4           
6263     下子               4           
6264     礼品               4           
6265     栩栩如生             4           
6266     林文雄              4           
6267     血汗               4           
6268     引发               4           
6269     美貌               4           
6270     柔情               4           
6271     仓促               4           
6272     魂魄               4           
6273     放逐               4           
6274     采菊               4           
6275     悠然               4           
6276     艳丽               4           
6277     弯曲               4           
6278     安可               4           
6279     男友               4           
6280     稍稍               4           
6281     抵挡               4           
6282     问问               4           
6283     管道               4           
6284     白蛇               4           
6285     硕大               4           
6286     山涧               4           
6287     颠簸               4           
6288     憨厚               4           
6289     杂志               4           
6290     互助               4           
6291     老农               4           
6292     昏睡               4           
6293     前往               4           
6294     纯属               4           
6295     记下               4           
6296     羞涩               4           
6297     邮编               4           
6298     洋节               4           
6299     本行               4           
6300     潜藏               4           
6301     暖暖的              4           
6302     玫瑰色              4           
6303     掌心               4           
6304     解脱               4           
6305     葬花               4           
6306     红颜               4           
6307     取舍               4           
6308     丝丝               4           
6309     五光十色             4           
6310     暖意               4           
6311     金鸡               4           
6312     于是乎              4           
6313     一国两制             4           
6314     小姑姑              4           
6315     寺庙               4           
6316     2004年            4           
6317     阻挡               4           
6318     因素               4           
6319     忘情               4           
6320     火锅               4           
6321     有生之年             4           
6322     友人               4           
6323     三月               4           
6324     请帖               4           
6325     各式               4           
6326     捂住               4           
6327     百万               4           
6328     衣着               4           
6329     窗台               4           
6330     平生               4           
6331     想见               4           
6332     平添               4           
6333     心田               4           
6334     姑苏               4           
6335     列队               4           
6336     香喷喷              4           
6337     张小凡              4           
6338     赞同               4           
6339     梧桐书社             4           
6340     大雨               4           
6341     修改               4           
6342     黄花               4           
6343     吭声               4           
6344     不难               4           
6345     此时此刻             4           
6346     记载               4           
6347     只求               4           
6348     几时               4           
6349     打印               4           
6350     西域               4           
6351     威震               4           
6352     万家灯火             4           
6353     暖暖               4           
6354     往年               4           
6355     破裂               4           
6356     郑润琪              4           
6357     老马               4           
6358     实诚               4           
6359     小雨               4           
6360     联合国              4           
6361     余晖               4           
6362     依偎               4           
6363     个头               4           
6364     课后               4           
6365     产房               4           
6366     虢平明              4           
6367     大雁               4           
6368     设施               4           
6369     鞭炮声              4           
6370     食品               4           
6371     快递               4           
6372     花圃               4           
6373     狡猾               4           
6374     虢明智              4           
6375     咕嘟               4           
6376     臭豆腐              4           
6377     遇难               4           
6378     与其说              4           
6379     长官               4           
6380     啼哭               4           
6381     煤油灯              4           
6382     麦子               4           
6383     天津市              4           
6384     曹履虫              4           
6385     张蕊               4           
6386     灰心               4           
6387     好日子              4           
6388     防护               4           
6389     温迪               4           
6390     萦绕               4           
6391     天国               4           
6392     利箭               4           
6393     东亚               4           
6394     游行               4           
6395     神泉               4           
6396     杰克豆              4           
6397     佳怡               4           
6398     孙女               4           
6399     田园               4           
6400     泥鳅               4           
6401     游玩               4           
6402     蓝衣               4           
6403     仁兄               4           
6404     守信               4           
6405     沈天茹              4           
6406     妖怪               4           
6407     放炮               4           
6408     北京机场             4           
6409     for              4           
6410     帐篷               4           
6411     羊村               4           
6412     羊儿               4           
6413     长命百岁             4           
6414     祭拜               4           
6415     福建省晋江市           4           
6416     季延               4           
6417     板油               4           
6418     广告               4           
6419     仓库               4           
6420     芙蕾雅大陆            4           
6421     自杀               4           
6422     ke               4           
6423     片子               4           
6424     狂人               4           
6425     未央               4           
6426     铁锈               4           
6427     罗纳尔多             4           
6428     乔治·桑             4           
6429     刀子               4           
6430     城门               4           
6431     咚咚               4           
6432     马车               4           
6433     手链               4           
6434     约法三章             4           
6435     关键词              4           
6436     人情味              4           
6437     结巴               4           
6438     桑梓               4           
6439     戒指               4           
6440     武人               4           
6441     关羽               4           
6442     米花               4           
6443     达利               4           
6444     恍惚               4           
6445     ZZ               4           
6446     变异               4           
6447     郑全胜              4           
6448     坐标               4           
6449     瑶姬               4           
6450     黄辰               4           
6451     蒋玥               4           
6452     胜仗               4           
6453     调兵遣将             4           
6454     落幕               3           
6455     2001年            3           
6456     萨马兰奇             3           
6457     投向               3           
6458     国富民强             3           
6459     流转               3           
6460     标志性              3           
6461     勃勃生机             3           
6462     银光               3           
6463     风暴               3           
6464     金龙               3           
6465     满不在乎             3           
6466     奥尼尔              3           
6467     得分               3           
6468     威力               3           
6469     趁机               3           
6470     一举               3           
6471     出手               3           
6472     宣传               3           
6473     花样               3           
6474     全市               3           
6475     映入眼帘             3           
6476     清澈见底             3           
6477     纵身               3           
6478     不能不              3           
6479     排练               3           
6480     编织               3           
6481     身姿               3           
6482     裁判               3           
6483     第七               3           
6484     停停               3           
6485     流入               3           
6486     耳鬓               3           
6487     粼粼               3           
6488     解渴               3           
6489     勾勒               3           
6490     巨龙               3           
6491     青苔               3           
6492     20年              3           
6493     弹指一挥间            3           
6494     6年               3           
6495     发射               3           
6496     高级               3           
6497     名副其实             3           
6498     道别               3           
6499     攀谈               3           
6500     寒颤               3           
6501     映入               3           
6502     皑皑               3           
6503     开采               3           
6504     干枯               3           
6505     雷达               3           
6506     欣喜若狂             3           
6507     大名鼎鼎             3           
6508     飞车               3           
6509     深奥               3           
6510     购买               3           
6511     攻打               3           
6512     占用               3           
6513     协助               3           
6514     停车场              3           
6515     毫不留情             3           
6516     到手               3           
6517     白领               3           
6518     100万             3           
6519     总裁               3           
6520     歌唱家              3           
6521     宇航员              3           
6522     断定               3           
6523     Z国               3           
6524     禁止               3           
6525     天下第一             3           
6526     早起               3           
6527     路面               3           
6528     泥巴               3           
6529     儿歌               3           
6530     辣椒               3           
6531     山间               3           
6532     任由               3           
6533     困境               3           
6534     连夜               3           
6535     卸下               3           
6536     用不着              3           
6537     如释重负             3           
6538     懒惰               3           
6539     补贴               3           
6540     密密麻麻             3           
6541     高校               3           
6542     做法               3           
6543     榜样               3           
6544     两鬓               3           
6545     繁忙               3           
6546     不可开交             3           
6547     絮语               3           
6548     行装               3           
6549     团圆饭              3           
6550     心酸               3           
6551     翻腾               3           
6552     惊愕               3           
6553     食指               3           
6554     气球               3           
6555     嬉笑               3           
6556     挤出               3           
6557     犀利               3           
6558     申请               3           
6559     评论家              3           
6560     老百姓              3           
6561     饥渴               3           
6562     全民               3           
6563     哗然               3           
6564     传媒               3           
6565     诗书               3           
6566     儒家               3           
6567     融合               3           
6568     效应               3           
